Customer ID,Status,Customer Level
CUS-893950,Churn,Semi-Enterprise
CUS-1053700,Churn,Semi-Enterprise
CUS-1500450,Retained,Enterprise
CUS-1534450,Retained,Enterprise
CUS-262500,Churn,Long-tail
CUS-359950,Churn,Long-tail
CUS-360000,Churn,Long-tail
CUS-1598150,Onboarding,Long-tail
CUS-1478800,Churn,Semi-Enterprise
CUS-1490200,Onboarding,Enterprise
CUS-340500,Churn,Long-tail
CUS-724550,Retained,Enterprise
CUS-398050,Churn,Semi-Enterprise
CUS-1587000,Retained,Enterprise
CUS-1467950,Churn,Enterprise
CUS-1520850,Retained,Enterprise
CUS-1532500,Onboarding,Enterprise
CUS-1078200,Churn,Long-tail
CUS-1579850,Onboarding,Enterprise
CUS-1450700,Churn,Semi-Enterprise
CUS-1458200,Churn,Long-tail
CUS-418850,Churn,Long-tail
CUS-1286600,Retained,Enterprise
CUS-174450,Churn,Long-tail
CUS-1483600,Retained,Long-tail
CUS-508550,Churn,Semi-Enterprise
CUS-444950,Churn,Long-tail
CUS-600200,Churn,Semi-Enterprise
CUS-756850,Churn,Semi-Enterprise
CUS-576500,Churn,Semi-Enterprise
CUS-651350,Retained,Semi-Enterprise
CUS-1165050,Retained,Long-tail
CUS-1554800,Onboarding,Enterprise
CUS-1474700,Churn,Long-tail
CUS-1450550,Churn,Long-tail
CUS-303900,Retained,Enterprise
CUS-166800,Onboarding,Enterprise
CUS-1509500,Retained,Semi-Enterprise
CUS-1466500,Onboarding,Long-tail
CUS-325050,Churn,Semi-Enterprise
CUS-1500300,Retained,Enterprise
CUS-576050,Churn,Long-tail
CUS-159200,Retained,Enterprise
CUS-1521250,Retained,Enterprise
CUS-1483150,Retained,Long-tail
CUS-1337250,Retained,Long-tail
CUS-1552350,Onboarding,Semi-Enterprise
CUS-200350,Retained,Enterprise
CUS-1513300,Retained,Enterprise
CUS-1450500,Retained,Enterprise
CUS-1457450,Retained,Enterprise
CUS-1457500,Churn,Enterprise
CUS-187350,Churn,Long-tail
CUS-597900,Churn,Long-tail
CUS-1432700,Churn,Long-tail
CUS-1553050,Onboarding,Enterprise
CUS-1475250,Churn,Semi-Enterprise
CUS-159650,Churn,Long-tail
CUS-254300,Churn,Long-tail
CUS-606700,Churn,Long-tail
CUS-1441800,Churn,Long-tail
CUS-1288650,Churn,Enterprise
CUS-267900,Churn,Long-tail
CUS-246300,Retained,Long-tail
CUS-1507300,Retained,Enterprise
CUS-151100,Churn,Long-tail
CUS-190300,Retained,Semi-Enterprise
CUS-158700,Retained,Enterprise
CUS-1436850,Churn,Long-tail
CUS-1514050,Retained,Enterprise
CUS-1499900,Retained,Long-tail
CUS-1500400,Retained,Long-tail
CUS-161750,Churn,Enterprise
CUS-1493250,Churn,Semi-Enterprise
CUS-1474400,Churn,Semi-Enterprise
CUS-1588950,Onboarding,Enterprise
CUS-908150,Churn,Long-tail
CUS-1471050,Retained,Enterprise
CUS-1542450,Retained,Enterprise
CUS-197850,Churn,Enterprise
CUS-1473350,Churn,Long-tail
CUS-166600,Churn,Long-tail
CUS-1597000,Onboarding,Enterprise
CUS-646950,Churn,Long-tail
CUS-1172350,Retained,Enterprise
CUS-1488800,Retained,Enterprise
CUS-1488850,Retained,Enterprise
CUS-1531800,Retained,Long-tail
CUS-5600650,Retained,Long-tail
CUS-1461300,Churn,Long-tail
CUS-231100,Churn,Long-tail
CUS-1346850,Churn,Long-tail
CUS-1531000,Retained,Semi-Enterprise
CUS-1483550,Churn,Enterprise
CUS-1310400,Retained,Semi-Enterprise
CUS-169600,Churn,Long-tail
CUS-1179000,Churn,Long-tail
CUS-1533750,Retained,Enterprise
CUS-1589600,Onboarding,Long-tail
CUS-167000,Retained,Enterprise
CUS-174500,Churn,Long-tail
CUS-1461550,Retained,Semi-Enterprise
CUS-1509200,Onboarding,Long-tail
CUS-1606650,Onboarding,Enterprise
CUS-1606700,Onboarding,Enterprise
CUS-1606750,Onboarding,Enterprise
CUS-1602000,Onboarding,Enterprise
CUS-1606800,Onboarding,Enterprise
CUS-1606850,Onboarding,Enterprise
CUS-1516100,Onboarding,Long-tail
CUS-1443050,Churn,Long-tail
CUS-618050,Churn,Long-tail
CUS-1509900,Retained,Semi-Enterprise
CUS-1145350,Churn,Semi-Enterprise
CUS-412200,Churn,Enterprise
CUS-1511400,Retained,Semi-Enterprise
CUS-1325650,Churn,Semi-Enterprise
CUS-1492100,Retained,Semi-Enterprise
CUS-157450,Retained,Long-tail
CUS-1503150,Churn,Enterprise
CUS-796400,Retained,Enterprise
CUS-1574350,Onboarding,Enterprise
CUS-1500900,Retained,Enterprise
CUS-1536350,Onboarding,Enterprise
CUS-1434700,Churn,Long-tail
CUS-166450,Retained,Semi-Enterprise
CUS-801400,Churn,Long-tail
CUS-1516700,Retained,Enterprise
CUS-393100,Churn,Long-tail
CUS-1484950,Retained,Semi-Enterprise
CUS-1461000,Churn,Semi-Enterprise
CUS-1478200,Retained,Enterprise
CUS-790100,Churn,Long-tail
CUS-183550,Churn,Long-tail
CUS-335100,Churn,Long-tail
CUS-1461800,Retained,Enterprise
CUS-250350,Churn,Long-tail
CUS-1468700,Retained,Enterprise
CUS-199350,Churn,Long-tail
CUS-1141400,Churn,Long-tail
CUS-532950,Retained,Semi-Enterprise
CUS-1501300,Retained,Enterprise
CUS-596350,Retained,Enterprise
CUS-879300,Retained,Semi-Enterprise
CUS-1451650,Churn,Semi-Enterprise
CUS-561550,Retained,Enterprise
CUS-404600,Churn,Long-tail
