Customer ID,Total Revenue
CUS-1310400,"$215,119"
CUS-1478200,"$41,578"
CUS-1533750,"$466,426"
CUS-167000,"$1,641,896"
CUS-1461550,"$69,604"
CUS-1509900,"$444,529"
CUS-1511400,"$103,192"
CUS-1492100,"$25,562"
CUS-157450,"$85,730"
CUS-796400,"$190,359,226"
CUS-1500900,"$1,272,192"
CUS-166450,"$47,804"
CUS-1516700,"$3,069,060"
CUS-1484950,$0
CUS-1461800,"$358,086"
CUS-1468700,"$258,675"
CUS-879300,$0
CUS-561550,"$610,431"
CUS-155950,"$157,920"
CUS-424400,"$13,390"
CUS-1447200,"$17,222"
CUS-349000,"$164,066"
CUS-1091300,"$113,737"
CUS-417150,"$76,349"
CUS-424450,"$25,395"
CUS-1534800,"$148,999"
CUS-305050,"$119,288"
CUS-862150,"$60,741"
CUS-182200,"$67,363"
CUS-387600,"$90,496"
CUS-1454650,$0
CUS-1465950,"$1,159"
CUS-1460200,"$6,224,426"
CUS-1456450,"$101,813"
CUS-439300,"$3,422,504"
CUS-1507250,"$52,420"
CUS-1531100,$0
CUS-1485050,"$12,047"
CUS-1441600,$0
CUS-1516350,$0
CUS-1434650,"$27,556"
CUS-775950,"$78,013"
CUS-1442050,"$885,946"
CUS-785300,"$627,139"
CUS-1553850,$0
CUS-1441000,$70
CUS-316250,"$20,039,909"
CUS-414650,"$1,072,522"
CUS-796050,"$946,382"
CUS-1460350,"$1,946"
CUS-862100,"$8,772"
CUS-714600,"$9,917,571"
CUS-1546750,$0
CUS-185300,"$54,762"
CUS-1510400,"$466,025"
CUS-1516250,"$581,783"
CUS-1481950,"$108,738"
CUS-1470150,"$16,823"
CUS-1507950,$48
CUS-1538950,"$737,312"
CUS-1525900,"$1,445,612"
CUS-1450450,"$145,778"
CUS-1530500,"$123,385"
CUS-1528200,$0
CUS-1446250,"$153,001"
CUS-763850,"$63,381"
CUS-1505950,"$1,205"
CUS-1437100,"$238,921"
CUS-1528050,"$88,543"
CUS-1586900,$341
CUS-1235500,"$5,429"
CUS-1510150,$0
CUS-1471300,"$243,279"
CUS-1508200,$0
CUS-1479850,"$37,755,859"
