Customer ID,Help Ticket Count,Help Ticket Lead Time (hours)
CUS-1465050,41,919
CUS-292700,4,1534
CUS-1490900,7,1834
CUS-463400,27,963
CUS-1179250,11,510
CUS-1474350,6,164
CUS-1468600,38,1018
CUS-1488150,5,918
CUS-514050,1,485
CUS-362300,27,1640
CUS-1336650,64,1739
CUS-1495450,76,474
CUS-1560750,11,668
CUS-692150,16,844
CUS-502250,11,339
CUS-1189650,39,487
CUS-1352350,1,301
CUS-1352250,2,227
CUS-1477750,1,301
CUS-1129750,21,784
CUS-1352450,1,301
CUS-1477500,1,301
CUS-1477850,1,301
CUS-1352400,8,650
CUS-1477550,1,301
CUS-160350,34,1466
CUS-1585900,1,142
CUS-1172200,12,295
CUS-1456250,8,496
CUS-667900,2,251
CUS-208300,14,1044
CUS-1480850,5,1791
CUS-1174050,4,1272
CUS-1162550,10,1281
CUS-1438550,3,662
CUS-1442600,5,675
CUS-200300,15,1751
CUS-743950,1,2270
CUS-1293350,1,1615
CUS-351800,22,1684
CUS-1474600,20,1112
CUS-1558100,9,294
CUS-1466150,26,949
CUS-606300,24,1317
CUS-1252550,100,828
CUS-270250,3,2348
CUS-753450,8,299
CUS-1470750,16,413
CUS-1520150,5,130
CUS-519900,5,523
CUS-1488500,1,1903
CUS-1570150,10,292
CUS-1513450,10,228
CUS-1542650,11,967
CUS-1545200,1,126
CUS-1457100,61,684
CUS-1461950,2,223
CUS-166250,24,777
CUS-1520700,17,301
CUS-1469700,4,1341
CUS-494000,11,1361
CUS-1501150,30,1005
CUS-1482250,26,965
CUS-1483100,18,2158
CUS-1501700,1,373
CUS-1472300,19,606
CUS-1501250,28,634
CUS-151150,77,774
CUS-1595650,1,392
CUS-1478550,78,512
CUS-1607250,1,576
CUS-1446550,1,152
CUS-1414950,12,646
CUS-1462300,30,801
CUS-314750,3,408
CUS-1585950,1,55
CUS-1521650,1,430
CUS-533750,2,451
CUS-1526150,3,159
CUS-241450,3,1337
CUS-1559850,2,1165
CUS-155800,8,415
CUS-1551150,1,2545
CUS-1524100,83,306
CUS-1490600,3,531
CUS-1525550,3,265
CUS-777900,12,1053
CUS-1577050,1,484
CUS-1553650,13,276
